nome_repositorio,url,estrelas,data_criacao,idade_em_dias,idade_em_anos,total_pull_requests,total_pull_requests_aceitas,total_releases,data_ultima_atualizacao,dias_desde_ultima_atualizacao,linguagem_primaria,linguagens,total_issues,issues_abertas,issues_fechadas,razao_issues_fechadas,media_prs_aceitas_linguagem,media_releases_linguagem,media_dias_desde_atualizacao_linguagem
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,541259,09/05/2018,3024,8.3,743,157,0,14/07/2026,36,Markdown,Markdown,948,271,677,0.7141,133.67,0.0,71.67
sindresorhus/awesome,https://github.com/sindresorhus/awesome,497775,11/07/2014,4422,12.1,2511,701,0,18/08/2026,1,,,368,16,352,0.9565,1575.95,5.59,292.54
public-apis/public-apis,https://github.com/public-apis/public-apis,465844,20/03/2016,3803,10.4,5331,2147,0,18/08/2026,1,Shell,"Shell, Python",940,30,910,0.9681,6587.32,101.51,68.88
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,454329,24/12/2014,4256,11.7,46562,29117,0,19/08/2026,0,JavaScript,"JavaScript, CSS, HTML, Shell, Dockerfile, TypeScript, HCL",22064,163,21901,0.9926,4153.66,207.36,93.73
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,394789,11/10/2013,4695,12.9,11777,7423,0,18/08/2026,1,HTML,"HTML, Python",1293,38,1255,0.9706,2959.28,84.38,78.49
openclaw/openclaw,https://github.com/openclaw/openclaw,386801,24/11/2025,268,0.7,76382,26376,234,19/08/2026,0,JavaScript,"JavaScript, TypeScript, Swift, Shell, HTML, Kotlin, Ruby, CSS, Python, Dockerfile",47608,3503,44105,0.9264,4153.66,207.36,93.73
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,364936,15/03/2017,3444,9.4,6249,4399,1,18/08/2026,1,TypeScript,"TypeScript, JavaScript",3185,0,3185,1.0,3951.0,209.41,39.23
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,364902,26/02/2017,3461,9.5,717,210,0,20/03/2026,152,Python,"Python, Shell",402,275,127,0.3159,4381.96,96.0,134.19
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,359239,06/06/2016,3726,10.2,1058,415,0,28/08/2025,356,,,536,81,455,0.8489,1575.95,5.59,292.54
vinta/awesome-python,https://github.com/vinta/awesome-python,314934,27/06/2014,4436,12.2,2565,741,0,16/08/2026,3,Python,"Python, Makefile, JavaScript, CSS, HTML",0,0,0,,4381.96,96.0,134.19
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,313727,01/06/2015,4097,11.2,0,0,1,19/08/2026,0,,,0,0,0,,1575.95,5.59,292.54
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,279952,12/04/2017,3416,9.4,582,194,0,17/08/2026,2,Python,Python,240,152,88,0.3667,4381.96,96.0,134.19
996icu/996.ICU,https://github.com/996icu/996.ICU,276726,26/03/2019,2703,7.4,2001,1072,0,22/08/2025,362,,,0,0,0,,1575.95,5.59,292.54
obra/superpowers,https://github.com/obra/superpowers,274170,09/10/2025,314,0.9,1139,167,12,19/08/2026,0,Shell,"Shell, TypeScript, JavaScript, Batchfile, Python, HTML",855,100,755,0.883,6587.32,101.51,68.88
react/react,https://github.com/react/react,247422,24/05/2013,4835,13.2,20071,13035,132,19/08/2026,0,JavaScript,"JavaScript, Shell, CoffeeScript, TypeScript, HTML, CSS, Rust",14623,822,13801,0.9438,4153.66,207.36,93.73
torvalds/linux,https://github.com/torvalds/linux,243310,04/09/2011,5462,15.0,0,0,0,19/08/2026,0,Makefile,"Makefile, C, Assembly, C++, Shell, Perl, Awk, Python, UnrealScript, Yacc",0,0,0,,6824.34,158.88,82.6
affaan-m/ECC,https://github.com/affaan-m/ECC,241152,18/01/2026,213,0.6,1979,997,15,18/08/2026,1,Shell,"Shell, JavaScript, Python, TypeScript, PowerShell, Rust, Swift, CSS, Dockerfile",710,43,667,0.9394,6587.32,101.51,68.88
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,239180,23/06/2018,2979,8.2,411,122,0,19/11/2024,638,,,0,0,0,,1575.95,5.59,292.54
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,232998,22/07/2025,392,1.1,67071,11267,28,19/08/2026,0,Python,"Python, Shell, TeX, BibTeX Style, Makefile, PowerShell, HTML, JavaScript, CSS, Batchfile",22647,11340,11307,0.4993,4381.96,96.0,134.19
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,223883,16/07/2016,3686,10.1,12520,3088,0,03/08/2026,16,Python,"Python, Dockerfile, Shell",1749,143,1606,0.9182,4381.96,96.0,134.19
mattpocock/skills,https://github.com/mattpocock/skills,223524,03/02/2026,197,0.5,145,93,7,19/08/2026,0,Shell,"Shell, JavaScript",672,364,308,0.4583,6587.32,101.51,68.88
vuejs/vue,https://github.com/vuejs/vue,210236,29/07/2013,4769,13.1,2651,1136,249,10/10/2024,678,JavaScript,"JavaScript, HTML, Shell, CSS, TypeScript",10034,364,9670,0.9637,4153.66,207.36,93.73
ossu/computer-science,https://github.com/ossu/computer-science,208176,04/05/2014,4490,12.3,528,315,0,14/07/2026,36,HTML,HTML,675,17,658,0.9748,2959.28,84.38,78.49
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,203913,27/01/2026,204,0.6,154,12,0,20/04/2026,121,,,0,0,0,,1575.95,5.59,292.54
n8n-io/n8n,https://github.com/n8n-io/n8n,201198,22/06/2019,2615,7.2,26383,20199,767,19/08/2026,0,Shell,"Shell, Dockerfile, TypeScript, JavaScript, HTML, Vue, Batchfile, SCSS, Handlebars, CSS",10042,340,9702,0.9661,6587.32,101.51,68.88
anomalyco/opencode,https://github.com/anomalyco/opencode,199177,30/04/2025,476,1.3,18719,7353,860,19/08/2026,0,Shell,"Shell, JavaScript, Astro, TypeScript, MDX, CSS, HTML, Nix, Dockerfile, PowerShell",24122,3973,20149,0.8353,6587.32,101.51,68.88
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,197067,07/11/2015,3938,10.8,80409,48928,222,19/08/2026,0,Starlark,"Starlark, Dockerfile, Shell, Python, Batchfile, C++, C, Linker Script, MLIR, Jupyter Notebook",41700,768,40932,0.9816,24465.0,111.0,172.5
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,196529,24/03/2018,3070,8.4,863,309,0,26/07/2026,24,JavaScript,JavaScript,373,135,238,0.6381,4153.66,207.36,93.73
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,195089,31/03/2026,141,0.4,381,143,0,16/08/2026,3,Python,"Python, Rust, Shell, Dockerfile, HTML",2211,16,2195,0.9928,4381.96,96.0,134.19
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,194331,30/05/2024,811,2.2,0,0,0,12/08/2026,7,Markdown,Markdown,0,0,0,,133.67,0.0,71.67
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,189268,28/08/2009,6200,17.0,8237,3653,0,17/08/2026,1,Shell,"Shell, Python, Makefile",5079,154,4925,0.9697,6587.32,101.51,68.88
microsoft/vscode,https://github.com/microsoft/vscode,188934,03/09/2015,4003,11.0,64146,52169,234,19/08/2026,0,JavaScript,"JavaScript, TypeScript, Batchfile, Shell, CSS, HTML, PowerShell, Python, Inno Setup, Roff",251216,17533,233683,0.9302,4153.66,207.36,93.73
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,187587,12/01/2020,2410,6.6,64,7,31,04/07/2026,46,Batchfile,"Batchfile, HTML",1073,6,1067,0.9944,6702.5,190.5,8.83
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,186689,16/03/2023,1252,3.4,8633,4774,117,19/08/2026,0,Python,"Python, Dockerfile, Batchfile, Shell, JavaScript, TypeScript, CSS, Jinja, PLpgSQL, Elixir",3939,288,3651,0.9269,4381.96,96.0,134.19
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,185623,26/10/2020,2123,5.8,5106,3405,135,19/08/2026,0,Makefile,"Makefile, Python, Shell, Batchfile, Dockerfile",11929,1973,9956,0.8346,6824.34,158.88,82.6
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,185496,13/02/2018,3109,8.5,628,374,0,21/08/2024,728,,,579,130,449,0.7755,1575.95,5.59,292.54
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,185391,01/03/2018,3093,8.5,388,13,0,29/07/2026,21,Python,"Python, HTML, Java, Jupyter Notebook",729,536,193,0.2647,4381.96,96.0,134.19
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184713,16/11/2013,4659,12.8,899,370,0,15/02/2026,185,,,947,0,947,1.0,1575.95,5.59,292.54
avelino/awesome-go,https://github.com/avelino/awesome-go,181559,06/07/2014,4427,12.1,5531,3881,0,19/08/2026,0,Go,Go,759,23,736,0.9697,3162.76,209.72,80.52
ollama/ollama,https://github.com/ollama/ollama,178975,26/06/2023,1150,3.2,6457,3528,246,19/08/2026,0,TypeScript,"TypeScript, JavaScript, CSS, HTML, Dockerfile, Go, Shell, PowerShell, Inno Setup, Objective-C",11023,2430,8593,0.7796,3951.0,209.41,39.23
flutter/flutter,https://github.com/flutter/flutter,178500,06/03/2015,4183,11.5,74630,49665,7,19/08/2026,0,Dart,"Dart, Shell, HTML, Objective-C, PowerShell, Batchfile, Java, Swift, Ruby, CSS",115235,12577,102658,0.8909,25058.5,3.5,60.0
